timestamp,BFR_Target,BFR_Filt,FFR_Target,FFR_Filt,TFR_Target,TFR_Filt,BFL_Target,BFL_Filt,FFL_Target,FFL_Filt,TFL_Target,TFL_Filt,BBR_Target,BBR_Filt,FBR_Target,FBR_Filt,TBR_Target,TBR_Filt,BBL_Target,BBL_Filt,FBL_Target,FBL_Filt,TBL_Target,TBL_Filt
0.75,0.0,-0.13636494022271614,0.0,-1.7455326425202733,0.0,1.534981816070875,0.0,-0.10855891327637027,0.0,-1.7379103648499505,0.0,1.5290173533781615,0.0,-0.13265698793683225,0.0,-1.5867891210905392,0.0,1.4235178245713214,0.0,-0.11301337722408879,0.0,-1.5792827431926952,0.0,1.4176283872377722
0.76,0.0,-0.1362696377394533,0.0,-1.7435805957998247,0.0,1.5332689326930828,0.0,-0.10840180558524676,0.0,-1.7359918287451175,0.0,1.5273273084454064,0.0,-0.13255961772051988,0.0,-1.5850242642420314,0.0,1.4219466676188068,0.0,-0.1128605117207701,0.0,-1.5775520372900373,0.0,1.4160806023388237
0.77,0.0,-0.1361744819985359,0.0,-1.7416307902351977,0.0,1.5315580770277004,0.0,-0.10824486464678852,0.0,-1.7340753203526942,0.0,1.5256390777816498,0.0,-0.13246235422591332,0.0,-1.5832614351059333,0.0,1.4203773249352907,0.0,-0.11270777961958361,0.0,-1.5758231456563778,0.0,1.4145344182654622
0.78,0.0,-0.13607945965975077,0.0,-1.7396831191046862,0.0,1.5298489289096104,0.0,-0.10808807712078235,0.0,-1.7321609463943866,0.0,1.5239527681085971,0.0,-0.13236518411279932,0.0,-1.5815005269605396,0.0,1.4188095830773613,0.0,-0.11255515424010291,0.0,-1.5740960682917167,0.0,1.412989941739393
0.79,0.0,-0.13598458406331104,0.0,-1.737737689129996,0.0,1.5281418085039304,0.0,-0.10793144300722825,0.0,-1.7302486001484887,0.0,1.5222682727045427,0.0,-0.13226810738117786,0.0,-1.5797415398058496,0.0,1.4172435487667243,0.0,-0.11240266226275444,0.0,-1.5723710186394655,0.0,1.4114471727606164
0.8,0.0,-0.13588984186900357,0.0,-1.7357943935894218,0.0,1.5264365023672486,0.0,-0.1077749689762328,0.0,-1.7283384950584124,0.0,1.5205858050128982,0.0,-0.13217115071147542,0.0,-1.5779845803635697,0.0,1.4156792220033798,0.0,-0.11225027700711177,0.0,-1.5706477832562122,0.0,1.4099060046074265
0.81,0.0,-0.1357952330768283,0.0,-1.733853232482963,0.0,1.5247330104995651,0.0,-0.10761865502779604,0.0,-1.726430417680746,0.0,1.518905044868546,0.0,-0.13207428742326552,0.0,-1.5762295419119936,0.0,1.4141167095090335,0.0,-0.11209801181338808,0.0,-1.5689263621419576,0.0,1.4083666507232349
0.8200000000000001,0.0,-0.1357007710269985,0.0,-1.7319143125323255,0.0,1.5230314396225857,0.0,-0.10746249449181133,0.0,-1.7245244747371948,0.0,1.517226205714898,0.0,-0.13197753085676142,0.0,-1.5744764244511218,0.0,1.412555797840274,0.0,-0.1119458666815834,0.0,-1.5672068620184068,0.0,1.40682889766463
0.8300000000000001,0.0,-0.13560644237930092,0.0,-1.7299775270158038,0.0,1.5213317897363103,0.0,-0.1073064940383853,0.0,-1.7226206662277597,0.0,1.515549287551954,0.0,-0.1318808810119631,0.0,-1.5727253347026597,0.0,1.4109965937188071,0.0,-0.11179384828180434,0.0,-1.5654891761638545,0.0,1.4052928521533175
0.84,0.0,-0.13551224713373558,0.0,-1.7280428759333977,0.0,1.5196339541190333,0.0,-0.10715064699741132,0.0,-1.72071899215244,0.0,1.5138741836580085,0.0,-0.13178433788887056,0.0,-1.5709761659449017,0.0,1.4094392038663384,0.0,-0.11164194327383767,0.0,-1.5637734113000061,0.0,1.4037585141892976
